date,spy
2018-10-12,260.0287781
2018-10-15,258.5681458
2018-10-16,264.2220154
2018-10-17,264.269104
2018-10-18,260.4528198
2018-10-19,260.3114319
2018-10-22,259.1429749
2018-10-23,257.8237
2018-10-24,250.0120697
2018-10-25,254.497406
2018-10-26,250.0214386
2018-10-29,248.6362762
2018-10-30,252.3206482
2018-10-31,255.0156403
2018-11-01,257.7295532
2018-11-02,256.2030029
2018-11-05,257.6164246
2018-11-06,259.2466125
2018-11-07,264.7967529
2018-11-08,264.3162537
2018-11-09,261.7343445
2018-11-12,256.8437195
2018-11-13,256.3631897
2018-11-14,254.6104736
2018-11-15,257.2677612
2018-11-16,257.9368286
2018-11-19,253.5739594
2018-11-20,248.8812714
2018-11-21,249.7293396
2018-11-23,248.0615082
2018-11-26,252.0662079
2018-11-27,252.9143372
2018-11-28,258.737793
2018-11-29,258.1724243
2018-11-30,259.7460327
2018-12-03,263.1854248
2018-12-04,254.6575775
2018-12-06,254.2712555
2018-12-07,248.3630219
2018-12-10,248.8341827
2018-12-11,248.890686
2018-12-12,250.1439972
2018-12-13,250.0591431
2018-12-14,245.4418945
2018-12-17,240.6267242
2018-12-18,240.3628387
2018-12-19,236.7632294
2018-12-20,232.9092407
2018-12-21,228.1370239
2018-12-24,222.109024
2018-12-26,233.3309784
2018-12-27,235.1223755
2018-12-28,234.8190918
2018-12-31,236.8758087
2019-01-02,237.1222382
2019-01-03,231.4638367
2019-01-04,239.2169189
2019-01-07,241.1030273
2019-01-08,243.3682709
2019-01-09,244.5056305
2019-01-10,245.3681335
2019-01-11,245.4629364
2019-01-14,243.9653778
2019-01-15,246.7614441
2019-01-16,247.3585358
2019-01-17,249.2351837
2019-01-18,252.5525055
2019-01-22,249.1403656
2019-01-23,249.6617126
2019-01-24,249.7943726
2019-01-25,251.9080048
2019-01-28,249.9934235
2019-01-29,249.6617126
2019-01-30,253.6140442
2019-01-31,255.8414001
2019-02-01,255.9646454
2019-02-04,257.7654724
2019-02-05,258.8459778
2019-02-06,258.5047607
2019-02-07,256.0404663
2019-02-08,256.353241
2019-02-11,256.4953918
2019-02-12,259.7937927
2019-02-13,260.6372681
2019-02-14,260.0591431
2019-02-15,262.8930969
2019-02-19,263.3480835
2019-02-20,263.8788452
2019-02-21,262.9404907
2019-02-22,264.5707703
2019-02-25,264.9308777
2019-02-26,264.7413025
2019-02-27,264.627594
2019-02-28,264.1347046
2019-03-01,265.783844
2019-03-04,264.8171387
2019-03-05,264.4569702
2019-03-06,262.8551636
2019-03-07,260.6562195
2019-03-08,260.1349792
2019-03-11,263.9072876
2019-03-12,264.9024658
2019-03-13,266.6558533
2019-03-14,266.48526
2019-03-15,267.8018494
2019-03-18,268.7728882
2019-03-19,268.8395691
2019-03-20,268.0302429
2019-03-21,271.0576477
2019-03-22,265.8407593
2019-03-25,265.6408997
2019-03-26,267.6210022
2019-03-27,266.2215881
2019-03-28,267.2307129
2019-03-29,268.9156799
2019-04-01,272.1047974
2019-04-02,272.2380981
2019-04-03,272.6664429
2019-04-04,273.3899841
2019-04-05,274.7132263
2019-04-08,274.9227295
2019-04-09,273.5137329
2019-04-10,274.4467163
2019-04-11,274.3705444
2019-04-12,276.2269287
2019-04-15,276.04599
2019-04-16,276.2269287
2019-04-17,275.5509949
2019-04-18,276.0935974
2019-04-22,276.3316345
2019-04-23,278.8162842
2019-04-24,278.1975403
2019-04-25,278.0261536
2019-04-26,279.3208618
2019-04-29,279.7587585
2019-04-30,279.9014893
2019-05-01,277.7976685
2019-05-02,277.1979065
2019-05-03,279.9110718
2019-05-06,278.7591553
2019-05-07,274.1039734
2019-05-08,273.7232056
2019-05-09,272.894989
2019-05-10,274.2657776
2019-05-13,267.3734741
2019-05-14,269.7915039
2019-05-15,271.3717651
2019-05-16,273.8850403
2019-05-17,272.1143188
2019-05-20,270.3151245
2019-05-21,272.7521057
2019-05-22,271.9143982
2019-05-23,268.592041
2019-05-24,269.2013245
2019-05-28,266.6975403
2019-05-29,264.9078674
2019-05-30,265.6313477
2019-05-31,262.0519409
2019-06-03,261.385498
2019-06-04,267.0593567
2019-06-05,269.3726501
2019-06-06,271.1242371
2019-06-07,273.8374939
2019-06-10,275.0940552
2019-06-11,275.0273743
2019-06-12,274.5419617
2019-06-13,275.6747437
2019-06-14,275.3701172
2019-06-17,275.474823
2019-06-18,278.359375
2019-06-19,278.9876404
2019-06-20,281.6531372
2019-06-21,281.2437439
2019-06-24,280.899353
2019-06-25,278.1443481
2019-06-26,277.8669434
2019-06-27,278.8522339
2019-06-28,280.2871399
2019-07-01,282.8317566
2019-07-02,283.5682983
2019-07-03,285.8355408
2019-07-05,285.5102844
2019-07-08,283.9414063
2019-07-09,284.2953491
2019-07-10,285.6537781
2019-07-11,286.3233948
2019-07-12,287.6052246
2019-07-15,287.7008972
2019-07-16,286.7729187
2019-07-17,284.8215027
2019-07-18,285.8641968
2019-07-19,284.2762451
2019-07-22,284.9745483
2019-07-23,287.012146
2019-07-24,288.3609619
2019-07-25,286.9834595
2019-07-26,288.9062195
2019-07-29,288.3800964
2019-07-30,287.6722107
2019-07-31,284.5249939
2019-08-01,282.0472717
2019-08-02,279.923584
2019-08-05,271.5054932
2019-08-06,275.3127747
2019-08-07,275.4754028
2019-08-08,280.8802185
2019-08-09,278.9670105
2019-08-12,275.5710754
2019-08-13,279.8566589
2019-08-14,271.5820618
2019-08-15,272.299408
2019-08-16,276.3172913
2019-08-19,279.6462402
2019-08-20,277.503418
2019-08-21,279.7610168
2019-08-22,279.6748962
2019-08-23,272.4907532
2019-08-26,275.5040894
2019-08-27,274.4230957
2019-08-28,276.3554993
2019-08-29,279.885376
2019-08-30,279.7610168
2019-09-03,278.1252136
2019-09-04,281.282074
2019-09-05,284.8980103
2019-09-06,285.1180115
2019-09-09,285.2615356
2019-09-10,285.1946106
2019-09-11,287.2225952
2019-09-12,288.2174683
2019-09-13,288.0261841
2019-09-16,287.1365051
2019-09-17,287.8635559
2019-09-18,288.0357361
2019-09-19,288.0166016
2019-09-20,286.6557922
2019-09-23,286.5884705
2019-09-24,284.3396912
2019-09-25,286.0214539
2019-09-26,285.4256592
2019-09-27,283.8879395
2019-09-30,285.2046204
