date,price
2011-04-21,108.3259201
2011-04-25,108.2125549
2011-04-26,109.143692
2011-04-27,109.8562927
2011-04-28,110.2125931
2011-04-29,110.4716721
2011-05-02,110.301651
2011-05-03,109.9048843
2011-05-04,109.1761169
2011-05-05,108.1882401
2011-05-06,108.6660156
2011-05-09,109.0870514
2011-05-10,110.0182419
2011-05-11,108.8603516
2011-05-12,109.3785858
2011-05-13,108.5363922
2011-05-16,107.8481979
2011-05-17,107.831955
2011-05-18,108.7955551
2011-05-19,109.054657
2011-05-20,108.1882401
2011-05-23,106.9331512
2011-05-24,106.8440857
2011-05-25,107.2003937
2011-05-26,107.6942978
2011-05-27,108.1072769
2011-05-31,109.2327728
2011-06-01,106.7792969
2011-06-02,106.6659698
2011-06-03,105.6051941
2011-06-06,104.4877625
2011-06-07,104.4230118
2011-06-08,103.9857559
2011-06-09,104.7792587
2011-06-10,103.3217697
2011-06-13,103.4027252
2011-06-14,104.7144852
2011-06-15,102.8520889
2011-06-16,103.0788422
2011-06-17,103.3864365
2011-06-20,103.9153671
2011-06-21,105.3394241
2011-06-22,104.7046967
2011-06-23,104.4036255
2011-06-24,103.1911392
2011-06-27,104.1106873
2011-06-28,105.4696503
2011-06-29,106.3728943
2011-06-30,107.3900909
2011-07-01,108.9768982
2011-07-05,108.887352
2011-07-06,109.0175476
2011-07-07,110.1486664
2011-07-08,109.3674927
2011-07-11,107.3900909
2011-07-12,106.9262161
2011-07-13,107.2842712
2011-07-14,106.5437927
2011-07-15,107.1622314
2011-07-18,106.2833939
2011-07-19,108.0085373
2011-07-20,107.943428
2011-07-21,109.4407196
2011-07-22,109.5139389
2011-07-25,108.9036255
2011-07-26,108.4967728
2011-07-27,106.2752533
2011-07-28,105.9660034
2011-07-29,105.2417831
2011-08-01,104.7942123
2011-08-02,102.1169891
2011-08-03,102.6703491
2011-08-04,97.86109924
2011-08-05,97.71464539
2011-08-08,91.35112762
2011-08-09,95.5989151
2011-08-10,91.37554932
2011-08-11,95.47682953
2011-08-12,96.11968994
2011-08-15,98.15406036
2011-08-16,97.31590271
2011-08-17,97.38098907
2011-08-18,93.18206787
2011-08-19,91.66034698
2011-08-22,91.73361206
2011-08-23,94.75261688
2011-08-24,96.08715057
2011-08-25,94.62239075
2011-08-26,95.997612
2011-08-29,98.75623322
2011-08-30,99.01663208
2011-08-31,99.4560318
2011-09-01,98.41444397
2011-09-02,95.89997101
2011-09-06,95.20012665
2011-09-07,97.88554382
2011-09-08,96.86832428
2011-09-09,94.32943726
2011-09-12,94.9397583
2011-09-13,95.81047821
2011-09-14,97.13689423
2011-09-15,98.81316376
2011-09-16,99.39801788
2011-09-19,98.40829468
2011-09-20,98.29377747
2011-09-21,95.39823151
2011-09-22,92.31453705
2011-09-23,92.87073517
2011-09-26,95.07920837
2011-09-27,96.14254761
2011-09-28,94.17947388
2011-09-29,94.92379761
2011-09-30,92.55171204
2011-10-03,89.91792297
2011-10-04,91.88918304
2011-10-05,93.59054565
2011-10-06,95.28374481
2011-10-07,94.64569092
2011-10-10,97.81119537
2011-10-11,97.90934753
2011-10-12,98.76821136
2011-10-13,98.57189941
2011-10-14,100.2568741
2011-10-17,98.34286499
2011-10-18,100.2650681
2011-10-19,99.07899475
2011-10-20,99.5125351
2011-10-21,101.4020157
2011-10-24,102.6453094
2011-10-25,100.6494827
2011-10-26,101.671936
2011-10-27,105.2136917
2011-10-28,105.1891632
2011-10-31,102.6534805
2011-11-01,99.79063416
2011-11-02,101.4183807
2011-11-03,103.2669907
2011-11-04,102.6371384
2011-11-07,103.2751465
2011-11-08,104.600235
2011-11-09,100.7394943
2011-11-10,101.6882935
2011-11-11,103.6023254
2011-11-14,102.6207657
2011-11-15,103.1279144
2011-11-16,101.4919891
2011-11-17,99.88062286
2011-11-18,99.77428436
2011-11-21,97.8766098
2011-11-22,97.49219513
2011-11-23,95.34096527
2011-11-25,95.16100311
2011-11-28,97.91751862
2011-11-29,98.19564819
2011-11-30,102.2363281
2011-12-01,102.2199936
2011-12-02,102.129982
2011-12-05,103.2424469
2011-12-06,103.2751465
2011-12-07,103.6595764
2011-12-08,101.3856506
2011-12-09,103.1033707
2011-12-12,101.59832
2011-12-13,100.6494827
2011-12-14,99.57798004
2011-12-15,99.93785858
2011-12-16,100.0860214
2011-12-19,99.01597595
2011-12-20,102.0122223
2011-12-21,102.2097473
2011-12-22,103.1152115
2011-12-23,104.0371246
2011-12-27,104.1194305
2011-12-28,102.7530365
2011-12-29,103.8148956
2011-12-30,103.3045273
2012-01-03,104.9508133
2012-01-04,105.1154404
