,Unnamed: 0,date,bull score,bear score
217,217,2018-02-15,0.142857143,0.095238095
218,218,2018-02-16,0.142857143,0.142857143
219,219,2018-02-17,1.0,0.0
220,220,2018-02-18,0.2,0.2
221,221,2018-02-19,0.0,0.0
222,222,2018-02-20,0.0,0.0
223,223,2018-02-21,0.0,0.222222222
224,224,2018-02-22,0.0,0.0
225,225,2018-02-23,0.222222222,0.222222222
226,226,2018-02-24,0.0,0.5
227,227,2018-02-25,0.666666667,0.0
228,228,2018-02-26,0.272727273,0.0
229,229,2018-02-27,0.142857143,0.0
230,230,2018-02-28,0.0,0.125
231,231,2018-03-01,0.111111111,0.0
232,232,2018-03-02,0.0,0.2
233,233,2018-03-03,0.166666667,0.0
234,234,2018-03-04,0.0,0.0
235,235,2018-03-05,0.3,0.2
236,236,2018-03-06,0.142857143,0.0
237,237,2018-03-07,0.0,0.0
238,238,2018-03-08,0.090909091,0.0
239,239,2018-03-09,0.157894737,0.0
240,240,2018-03-10,0.333333333,0.0
241,241,2018-03-12,0.111111111,0.222222222
242,242,2018-03-13,0.0,0.166666667
243,243,2018-03-14,0.0,0.0
244,244,2018-03-15,0.0,0.333333333
245,245,2018-03-16,0.153846154,0.153846154
246,246,2018-03-17,0.333333333,0.333333333
247,247,2018-03-18,0.0,0.0
248,248,2018-03-19,0.2,0.4
249,249,2018-03-20,0.181818182,0.090909091
250,250,2018-03-21,0.0,0.4
251,251,2018-03-22,0.058823529,0.058823529
252,252,2018-03-23,0.25,0.25
253,253,2018-03-24,0.2,0.0
254,254,2018-03-25,0.0,0.0
255,255,2018-03-26,0.0,0.333333333
256,256,2018-03-27,0.222222222,0.111111111
257,257,2018-03-28,0.1875,0.1875
258,258,2018-03-29,0.0,0.0
259,259,2018-03-30,0.5,0.0
260,260,2018-03-31,0.2,0.0
261,261,2018-04-01,0.2,0.0
262,262,2018-04-02,0.0,0.25
263,263,2018-04-03,0.071428571,0.214285714
264,264,2018-04-04,0.25,0.0
265,265,2018-04-05,0.0,0.0
266,266,2018-04-06,0.0,0.125
267,267,2018-04-07,0.0,0.0
268,268,2018-04-09,0.125,0.125
269,269,2018-04-10,0.0,0.25
270,270,2018-04-11,0.125,0.0
271,271,2018-04-12,0.0,0.25
272,272,2018-04-13,0.666666667,0.333333333
